,Unnamed: 0,dR/dT,models,experiment,var
0,0,-0.2090785064201744,ccsm4,amip,Total
1,1,0.2406812479173243,canam4,amip,Total
2,2,0.3284261969676049,canesm5,amip,Total
3,3,-0.222307071820588,e3sm,amip,Total
4,4,-0.5438342453358297,gfdl,amip,Total
5,5,-0.5042604505688627,hg2,amip,Total
6,6,-0.2597773276350818,hg3,amip,Total
7,7,-0.3171988929574777,ipsl,amip,Total
8,8,0.0821521927202134,mies2l,amip,Total
9,9,0.3949911138305972,miesm,amip,Total
10,10,-0.1828246821039487,mi5,amip,Total
11,11,-0.4511289432598223,mi6,amip,Total
12,12,-0.3192330958442145,mpi,amip,Total
13,13,-0.5852231001023116,mrcgcm,amip,Total
14,14,-0.7394474351792218,mresm,amip,Total
15,15,-0.2817806227035044,ukesm,amip,Total
17,0,0.3574853547111664,ccsm4,hist,Total
18,1,0.3753050557785079,canam4,hist,Total
19,2,0.6026171758320934,canesm5,hist,Total
20,3,0.1881670217441688,e3sm,hist,Total
21,4,-0.1102759388473504,gfdl,hist,Total
22,5,-0.2642474087249873,hg2,hist,Total
23,6,0.021909087700319,hg3,hist,Total
24,7,-0.2318936638542328,ipsl,hist,Total
25,8,0.1196788455457429,mies2l,hist,Total
26,9,0.5342204304255307,miesm,hist,Total
27,10,-0.0783991067904657,mi5,hist,Total
28,11,-0.1092701695205424,mi6,hist,Total
29,12,-0.1969766754901207,mpi,hist,Total
30,13,-0.1458632875242577,mrcgcm,hist,Total
31,14,-0.2511038414969473,mresm,hist,Total
32,15,0.0792743101412346,ukesm,hist,Total
34,0,0.3110941267978282,ccsm4,fast,Total
35,1,0.3192747942124663,canam4,fast,Total
36,2,0.6217199561330119,canesm5,fast,Total
37,3,0.2816578701609841,e3sm,fast,Total
38,4,-0.0002420959682417,gfdl,fast,Total
39,5,-0.0423419118010168,hg2,fast,Total
40,6,0.0266561073028879,hg3,fast,Total
41,7,0.0331826538129179,ipsl,fast,Total
42,8,0.0296462450761558,mies2l,fast,Total
43,9,0.4865513217820846,miesm,fast,Total
44,10,-0.0041832531734226,mi5,fast,Total
45,11,0.0270035412943306,mi6,fast,Total
46,12,-0.3527228197977583,mpi,fast,Total
47,13,-0.034468860768628,mrcgcm,fast,Total
48,14,-0.1805954357375306,mresm,fast,Total
49,15,0.0356377801788434,ukesm,fast,Total
51,0,0.4691981357907216,ccsm4,slow,Total
52,1,0.398257087015751,canam4,slow,Total
53,2,0.6568655945095829,canesm5,slow,Total
54,3,0.5575721111943024,e3sm,slow,Total
55,4,0.498150822500326,gfdl,slow,Total
56,5,0.1139041014619482,hg2,slow,Total
57,6,0.3404427902257613,hg3,slow,Total
58,7,0.0264718075210878,ipsl,slow,Total
59,8,0.1029094595154186,mies2l,slow,Total
60,9,0.3108961311097136,miesm,slow,Total
61,10,-0.0045336233870309,mi5,slow,Total
62,11,0.241042643142576,mi6,slow,Total
63,12,-0.2083416260789798,mpi,slow,Total
64,13,0.1828864105514683,mrcgcm,slow,Total
65,14,0.188266733673428,mresm,slow,Total
66,15,0.3219114695828048,ukesm,slow,Total
68,0,0.2154386132513917,ccsm4,amip,SST
69,1,0.3574881230955485,canam4,amip,SST
70,2,0.5600745862666247,canesm5,amip,SST
71,3,0.1171836038465294,e3sm,amip,SST
72,4,0.1537011830761768,gfdl,amip,SST
73,5,-0.0103839976806536,hg2,amip,SST
74,6,0.115462588907478,hg3,amip,SST
75,7,0.1543219578574638,ipsl,amip,SST
76,8,0.0047649182142466,mies2l,amip,SST
77,9,0.9018609196632588,miesm,amip,SST
78,10,-0.0641350945379077,mi5,amip,SST
79,11,0.0631823327761327,mi6,amip,SST
80,12,-0.1137625961385515,mpi,amip,SST
81,13,-0.04091996281862,mrcgcm,amip,SST
82,14,0.1081836717463372,mresm,amip,SST
83,15,0.1061897446448664,ukesm,amip,SST
85,0,-0.4965540401321759,ccsm4,amip,EIS
86,1,-0.2419680915969517,canam4,amip,EIS
87,2,-0.3768991252972195,canesm5,amip,EIS
88,3,-0.6525349996592714,e3sm,amip,EIS
89,4,-0.9063437633933614,gfdl,amip,EIS
90,5,-0.6648758782029031,hg2,amip,EIS
91,6,-0.5383523465766925,hg3,amip,EIS
92,7,-0.5774742553224136,ipsl,amip,EIS
93,8,-0.3063378004182874,mies2l,amip,EIS
94,9,-0.6159625990647122,miesm,amip,EIS
95,10,-0.507090244668674,mi5,amip,EIS
96,11,-0.7988545513778055,mi6,amip,EIS
97,12,-0.5778464371719202,mpi,amip,EIS
98,13,-0.7828324547307772,mrcgcm,amip,EIS
99,14,-0.915531670683118,mresm,amip,EIS
100,15,-0.5121740252316582,ukesm,amip,EIS
102,0,-0.0689762833303295,ccsm4,amip,Tadv
103,1,-0.0043225248377095,canam4,amip,Tadv
104,2,0.0120053534725082,canesm5,amip,Tadv
105,3,-0.0086284693235076,e3sm,amip,Tadv
106,4,0.0616816438677506,gfdl,amip,Tadv
107,5,-0.0560354654912537,hg2,amip,Tadv
108,6,-0.0252202952354615,hg3,amip,Tadv
109,7,-0.0514783150026731,ipsl,amip,Tadv
110,8,0.0603477731922164,mies2l,amip,Tadv
111,9,0.018039628567768,miesm,amip,Tadv
112,10,0.0727294981549345,mi5,amip,Tadv
113,11,0.0596367047957423,mi6,amip,Tadv
114,12,0.0094130987547293,mpi,amip,Tadv
115,13,-0.0053627638460272,mrcgcm,amip,Tadv
