,Unnamed: 0,dR/dT,models,experiment,var
0,0,-0.0434892802372062,ccsm4,amip,Total
1,1,0.23693072980939,canam4,amip,Total
2,2,0.4749256949788242,canesm5,amip,Total
3,3,-0.4081682194969992,e3sm,amip,Total
4,4,-0.3677268426622239,gfdl,amip,Total
5,5,-0.4973074478250103,hg2,amip,Total
6,6,-0.2863171845830422,hg3,amip,Total
7,7,-0.2617527565353554,ipsl,amip,Total
8,8,-0.0897509683173753,mies2l,amip,Total
9,9,0.6054960851119602,miesm,amip,Total
10,10,-0.2302179430122827,mi5,amip,Total
11,11,-0.3891864085020827,mi6,amip,Total
12,12,-0.3540206375918495,mpi,amip,Total
13,13,-0.6793352365255636,mrcgcm,amip,Total
14,14,-0.6456956663877065,mresm,amip,Total
15,15,-0.3262741646190487,ukesm,amip,Total
17,0,0.2666153982055219,ccsm4,hist,Total
18,1,0.3629489861164876,canam4,hist,Total
19,2,0.7251535491273792,canesm5,hist,Total
20,3,-0.0359194955932399,e3sm,hist,Total
21,4,-0.0304526126968932,gfdl,hist,Total
22,5,-0.0778652872005683,hg2,hist,Total
23,6,-0.1323430868096568,hg3,hist,Total
24,7,-0.1141828558217802,ipsl,hist,Total
25,8,0.0373651040505841,mies2l,hist,Total
26,9,0.7317961074854067,miesm,hist,Total
27,10,-0.0666644319328288,mi5,hist,Total
28,11,0.0033641724974309,mi6,hist,Total
29,12,-0.1427701302803682,mpi,hist,Total
30,13,-0.1171978205162009,mrcgcm,hist,Total
31,14,-0.3362259504615624,mresm,hist,Total
32,15,-0.1205041020733544,ukesm,hist,Total
34,0,0.2555446871990832,ccsm4,fast,Total
35,1,0.3396135761989928,canam4,fast,Total
36,2,0.7054269516851611,canesm5,fast,Total
37,3,0.049666458571383,e3sm,fast,Total
38,4,0.0815770195084025,gfdl,fast,Total
39,5,0.0166255406160471,hg2,fast,Total
40,6,-0.041087513801298,hg3,fast,Total
41,7,-0.0242581841901647,ipsl,fast,Total
42,8,-0.0015907827164197,mies2l,fast,Total
43,9,0.6943808593705634,miesm,fast,Total
44,10,-0.1068819280303973,mi5,fast,Total
45,11,0.0753451175228222,mi6,fast,Total
46,12,-0.2355511729008025,mpi,fast,Total
47,13,-0.0167947573390687,mrcgcm,fast,Total
48,14,-0.1945322283803153,mresm,fast,Total
49,15,-0.0315291758291853,ukesm,fast,Total
51,0,0.3980475612733692,ccsm4,slow,Total
52,1,0.3753796638672517,canam4,slow,Total
53,2,0.7526761449311904,canesm5,slow,Total
54,3,0.3286336375285653,e3sm,slow,Total
55,4,0.3703157901060172,gfdl,slow,Total
56,5,0.1560007213848166,hg2,slow,Total
57,6,0.1635160287928003,hg3,slow,Total
58,7,0.0841326433197355,ipsl,slow,Total
59,8,0.1161658607127155,mies2l,slow,Total
60,9,0.8458878171099918,miesm,slow,Total
61,10,-0.001690347688439,mi5,slow,Total
62,11,0.4288585333873176,mi6,slow,Total
63,12,-0.234043947990543,mpi,slow,Total
64,13,0.1615053953597399,mrcgcm,slow,Total
65,14,0.0905368822281911,mresm,slow,Total
66,15,0.1372974686580774,ukesm,slow,Total
68,0,0.2094268754580794,ccsm4,amip,SST
69,1,0.3609396192352282,canam4,amip,SST
70,2,0.5609963156911321,canesm5,amip,SST
71,3,0.106920772473237,e3sm,amip,SST
72,4,0.1503434168533071,gfdl,amip,SST
73,5,-0.0113467708422385,hg2,amip,SST
74,6,0.1191917904734842,hg3,amip,SST
75,7,0.1564235367347626,ipsl,amip,SST
76,8,0.0024538688570661,mies2l,amip,SST
