,Unnamed: 0,dR/dT,models,experiment,var
0,0,-0.621730373938037,ccsm4,amip,Total
1,1,-0.3939027669474984,canam4,amip,Total
2,2,-0.5083304782909916,canesm5,amip,Total
3,3,-0.4047912765783305,e3sm,amip,Total
4,4,-0.6011995691394865,gfdl,amip,Total
5,5,-0.5096944381808228,hg2,amip,Total
6,6,-0.513360679909882,hg3,amip,Total
7,7,-0.4805402655341564,ipsl,amip,Total
8,8,-0.2737926953263672,mies2l,amip,Total
9,9,-0.5474773943445247,miesm,amip,Total
10,10,-0.5111633853992372,mi5,amip,Total
11,11,-0.5005735356273162,mi6,amip,Total
12,12,-0.4027406640230606,mpi,amip,Total
13,13,-0.3759242209141917,mrcgcm,amip,Total
14,14,-0.414887124524677,mresm,amip,Total
15,15,-0.4622274852986329,ukesm,amip,Total
17,0,-0.0346668634711937,ccsm4,hist,Total
18,1,0.2368414539267685,canam4,hist,Total
19,2,-0.1782868180932933,canesm5,hist,Total
20,3,0.1518455059738973,e3sm,hist,Total
21,4,-0.0727928970216298,gfdl,hist,Total
22,5,-0.1453212420889561,hg2,hist,Total
23,6,0.2584968105433808,hg3,hist,Total
24,7,-0.219139848700448,ipsl,hist,Total
25,8,0.0673488786236302,mies2l,hist,Total
26,9,0.0260685209452462,miesm,hist,Total
27,10,0.1117856700879286,mi5,hist,Total
28,11,-0.0128024770319533,mi6,hist,Total
29,12,-0.2452147217835497,mpi,hist,Total
30,13,-0.1771582292693191,mrcgcm,hist,Total
31,14,0.0909650613981527,mresm,hist,Total
32,15,0.3571727878650572,ukesm,hist,Total
34,0,0.1264362640383433,ccsm4,fast,Total
35,1,0.077575355318794,canam4,fast,Total
36,2,0.0509787736433071,canesm5,fast,Total
37,3,0.3129563461696981,e3sm,fast,Total
38,4,0.0562925531086425,gfdl,fast,Total
39,5,0.1378410686501331,hg2,fast,Total
40,6,0.2638477631885851,hg3,fast,Total
41,7,0.1320963941889316,ipsl,fast,Total
42,8,0.0638485149361479,mies2l,fast,Total
43,9,0.0218122267594717,miesm,fast,Total
44,10,0.1354162045868893,mi5,fast,Total
45,11,0.0930801729371721,mi6,fast,Total
46,12,-0.0696244776170942,mpi,fast,Total
