,Unnamed: 0,dR/dT,models,experiment,var
0,0,-0.6327962622097802,ccsm4,amip,Total
1,1,-0.3002456225611368,canam4,amip,Total
2,2,-0.4617577944298367,canesm5,amip,Total
3,3,-0.2221183725336805,e3sm,amip,Total
4,4,-0.6777463775969386,gfdl,amip,Total
5,5,-0.4393370035437949,hg2,amip,Total
6,6,-0.4856729697124005,hg3,amip,Total
7,7,-0.5445620471698404,ipsl,amip,Total
8,8,-0.1148809204222201,mies2l,amip,Total
9,9,-0.5240905494856922,miesm,amip,Total
10,10,-0.4766797533859235,mi5,amip,Total
11,11,-0.4263861456462215,mi6,amip,Total
12,12,-0.3586977657964272,mpi,amip,Total
13,13,-0.3742633376235136,mrcgcm,amip,Total
14,14,-0.3970572719373446,mresm,amip,Total
15,15,-0.3463644523248781,ukesm,amip,Total
17,0,0.0641038738747476,ccsm4,hist,Total
18,1,0.2681990373979543,canam4,hist,Total
19,2,-0.1774243601812832,canesm5,hist,Total
20,3,0.3354736373523082,e3sm,hist,Total
21,4,-0.0224806461225043,gfdl,hist,Total
22,5,-0.0482618173959867,hg2,hist,Total
23,6,0.4138151101392737,hg3,hist,Total
24,7,-0.0893758227569323,ipsl,hist,Total
25,8,0.202669787177588,mies2l,hist,Total
26,9,0.1049249729812555,miesm,hist,Total
27,10,0.1826133187676283,mi5,hist,Total
28,11,0.0953419246548562,mi6,hist,Total
29,12,-0.2432498831578066,mpi,hist,Total
30,13,-0.2149036078605026,mrcgcm,hist,Total
31,14,0.1228064422800931,mresm,hist,Total
32,15,0.5471262658967384,ukesm,hist,Total
34,0,0.2038637591224148,ccsm4,fast,Total
35,1,0.1492358686210107,canam4,fast,Total
36,2,0.0772631202281928,canesm5,fast,Total
37,3,0.4170519561315984,e3sm,fast,Total
38,4,0.0780152251534156,gfdl,fast,Total
39,5,0.1672032811100087,hg2,fast,Total
40,6,0.3545157396105402,hg3,fast,Total
41,7,0.2133952067602106,ipsl,fast,Total
42,8,0.1327447055868064,mies2l,fast,Total
43,9,0.0740332005071299,miesm,fast,Total
44,10,0.2470167508256232,mi5,fast,Total
45,11,0.1600314923979232,mi6,fast,Total
46,12,-0.0609360128297032,mpi,fast,Total
47,13,0.0887224800240834,mrcgcm,fast,Total
48,14,0.1272048488774374,mresm,fast,Total
49,15,0.2698757887012817,ukesm,fast,Total
51,0,0.4603210891161268,ccsm4,slow,Total
52,1,0.5397160905039711,canam4,slow,Total
53,2,0.3601355155667545,canesm5,slow,Total
54,3,0.7409718960925955,e3sm,slow,Total
55,4,0.5858047310040185,gfdl,slow,Total
56,5,0.3454973225838873,hg2,slow,Total
57,6,0.7773967636036774,hg3,slow,Total
58,7,0.3659411859683899,ipsl,slow,Total
59,8,0.2272708462420823,mies2l,slow,Total
60,9,0.1622046285264454,miesm,slow,Total
61,10,0.1813663977262778,mi5,slow,Total
62,11,0.3034355941441267,mi6,slow,Total
63,12,0.2654817416110817,mpi,slow,Total
64,13,0.2682288310497119,mrcgcm,slow,Total
65,14,0.4592882630278802,mresm,slow,Total
66,15,0.7559566910924255,ukesm,slow,Total
68,0,0.2153637576102246,ccsm4,amip,SST
69,1,0.2372988718486307,canam4,amip,SST
70,2,0.2300613920968466,canesm5,amip,SST
71,3,0.2528573502290401,e3sm,amip,SST
72,4,0.2194873282391224,gfdl,amip,SST
73,5,0.249311168230891,hg2,amip,SST
74,6,0.2508648125869415,hg3,amip,SST
75,7,0.2285439392212537,ipsl,amip,SST
76,8,0.2453563702941558,mies2l,amip,SST
77,9,0.2328974271234896,miesm,amip,SST
78,10,0.2413206147264793,mi5,amip,SST
79,11,0.256763114565644,mi6,amip,SST
80,12,0.2214793190697472,mpi,amip,SST
81,13,0.2374813188961071,mrcgcm,amip,SST
82,14,0.2458052912264688,mresm,amip,SST
83,15,0.2460139590103739,ukesm,amip,SST
85,0,-0.7932533179037983,ccsm4,amip,EIS
86,1,-0.6511795973973761,canam4,amip,EIS
87,2,-0.7783247486082433,canesm5,amip,EIS
88,3,-0.8274149127833071,e3sm,amip,EIS
89,4,-1.0136236257114883,gfdl,amip,EIS
90,5,-0.8314165301051013,hg2,amip,EIS
91,6,-0.8119458594044564,hg3,amip,EIS
92,7,-0.7944265976364857,ipsl,amip,EIS
93,8,-0.6775977928394344,mies2l,amip,EIS
94,9,-0.8166976938935947,miesm,amip,EIS
95,10,-0.9829126453512254,mi5,amip,EIS
96,11,-0.9319123351890876,mi6,amip,EIS
97,12,-0.7185948717316148,mpi,amip,EIS
98,13,-0.7567023476651503,mrcgcm,amip,EIS
99,14,-0.7883673737395583,mresm,amip,EIS
100,15,-0.7850251604823255,ukesm,amip,EIS
102,0,-0.1265376224644796,ccsm4,amip,Tadv
103,1,0.0726526876174788,canam4,amip,Tadv
104,2,-0.0203984389275045,canesm5,amip,Tadv
105,3,0.0114059588417884,e3sm,amip,Tadv
106,4,0.011294889720699,gfdl,amip,Tadv
107,5,-0.0409476622689966,hg2,amip,Tadv
108,6,-0.038298121872464,hg3,amip,Tadv
109,7,-0.0993707987915381,ipsl,amip,Tadv
110,8,0.0468672124955772,mies2l,amip,Tadv
111,9,-0.0090934339946437,miesm,amip,Tadv
112,10,0.0241633519937679,mi5,amip,Tadv
113,11,0.0228526586325857,mi6,amip,Tadv
114,12,-0.0241628936854983,mpi,amip,Tadv
115,13,0.021807408045444,mrcgcm,amip,Tadv
116,14,0.0451806827807177,mresm,amip,Tadv
117,15,-0.0107236446531304,ukesm,amip,Tadv
119,0,0.0801645990105849,ccsm4,amip,RH
120,1,0.0083555745331984,canam4,amip,RH
121,2,0.0498564012942987,canesm5,amip,RH
122,3,0.148614442134583,e3sm,amip,RH
123,4,0.0524256346898601,gfdl,amip,RH
124,5,0.1421978391502018,hg2,amip,RH
125,6,0.0916308201775041,hg3,amip,RH
126,7,0.0617175404516112,ipsl,amip,RH
127,8,0.1880732562746466,mies2l,amip,RH
128,9,0.0622181384711897,miesm,amip,RH
129,10,0.1995143039738091,mi5,amip,RH
130,11,0.2617776871367033,mi6,amip,RH
131,12,0.1267045109119664,mpi,amip,RH
132,13,0.1241829734844525,mrcgcm,amip,RH
133,14,0.0527831654176331,mresm,amip,RH
134,15,0.2128176459223071,ukesm,amip,RH
136,0,0.0412734362134838,ccsm4,amip,Omega
137,1,0.0534034508316644,canam4,amip,Omega
138,2,0.0570092873745209,canesm5,amip,Omega
139,3,0.0333239257892422,e3sm,amip,Omega
140,4,0.0440209765303655,gfdl,amip,Omega
141,5,0.0630667778083935,hg2,amip,Omega
142,6,0.051193411945357,hg3,amip,Omega
143,7,0.0673274458548793,ipsl,amip,Omega
144,8,0.0318641326748051,mies2l,amip,Omega
145,9,0.0360383981337018,miesm,amip,Omega
146,10,0.0818750586521298,mi5,amip,Omega
147,11,0.0464436232636328,mi6,amip,Omega
148,12,0.0369227725710194,mpi,amip,Omega
149,13,0.0247358771691733,mrcgcm,amip,Omega
150,14,0.043394211075369,mresm,amip,Omega
151,15,0.0237218418430193,ukesm,amip,Omega
153,0,-0.1833795452456207,ccsm4,amip,WS
154,1,-0.0156169380932356,canam4,amip,WS
155,2,0.004754859061808,canesm5,amip,WS
156,3,0.0542059767681529,e3sm,amip,WS
157,4,0.0086484189345025,gfdl,amip,WS
158,5,-0.0215485963591833,hg2,amip,WS
159,6,-0.0291180331452827,hg3,amip,WS
160,7,-0.0083535762695609,ipsl,amip,WS
161,8,0.0511473266790483,mies2l,amip,WS
162,9,-0.0310640077706483,miesm,amip,WS
163,10,-0.0406404373808843,mi5,amip,WS
164,11,-0.0823108940556999,mi6,amip,WS
165,12,-0.001046602932047,mpi,amip,WS
