,dR/dT,models,experiment,var
0,-0.32695919444709787,ccsm4,amip,Total
1,-0.18242125464309858,canam4,amip,Total
2,-0.27234894627242545,canesm5,amip,Total
3,-0.14353539909220203,e3sm,amip,Total
4,-0.3698988422316131,gfdl,amip,Total
5,-0.1747233919425129,hg2,amip,Total
6,-0.19352790191140748,hg3,amip,Total
7,-0.22848195865628906,ipsl,amip,Total
8,-0.004009835025295554,mies2l,amip,Total
9,-0.31854289625596865,miesm,amip,Total
10,-0.21393650143355347,mi5,amip,Total
11,-0.16236329061873153,mi6,amip,Total
12,-0.1726972225230838,mpi,amip,Total
13,-0.16790452675161194,mrcgcm,amip,Total
14,-0.22530749732199562,mresm,amip,Total
15,-0.09125104388559903,ukesm,amip,Total
0,-0.20299435643828037,mean,amip,Total
0,0.12927635326125173,ccsm4,hist,Total
1,0.11245656602363295,canam4,hist,Total
2,-0.17543053947721754,canesm5,hist,Total
3,0.18035353894776288,e3sm,hist,Total
4,0.02054787744418199,gfdl,hist,Total
5,-0.030439021181653377,hg2,hist,Total
6,0.2199675971193535,hg3,hist,Total
7,-0.030965314115730495,ipsl,hist,Total
8,0.1892663230025834,mies2l,hist,Total
9,0.08513184472022337,miesm,hist,Total
10,0.07101405416749848,mi5,hist,Total
11,0.08614119261041275,mi6,hist,Total
12,-0.1479985006523489,mpi,hist,Total
13,-0.10086831148609171,mrcgcm,hist,Total
14,0.04258799530059819,mresm,hist,Total
15,0.4024409383770652,ukesm,hist,Total
0,0.06584266212884515,mean,hist,Total
0,0.07718808354979248,ccsm4,fast,Total
1,0.15173681962660174,canam4,fast,Total
2,0.028524658069508817,canesm5,fast,Total
3,0.3160383206280051,e3sm,fast,Total
4,0.030458091383393116,gfdl,fast,Total
5,0.06603504241570676,hg2,fast,Total
6,0.2080293279558748,hg3,fast,Total
7,0.1222477497215352,ipsl,fast,Total
8,0.09076188689281661,mies2l,fast,Total
9,0.061235102724379535,miesm,fast,Total
10,0.13899524091318588,mi5,fast,Total
11,0.08167745817115359,mi6,fast,Total
12,-0.054027782224302864,mpi,fast,Total
13,0.05414697599067803,mrcgcm,fast,Total
14,0.06554801568286188,mresm,fast,Total
15,0.1890042688728941,ukesm,fast,Total
0,0.1017249537733803,mean,fast,Total
0,0.27358992589272363,ccsm4,slow,Total
1,0.3712972298863837,canam4,slow,Total
2,0.2285612921445721,canesm5,slow,Total
3,0.506546573232997,e3sm,slow,Total
4,0.34838092866551396,gfdl,slow,Total
5,0.20616798682224663,hg2,slow,Total
6,0.4907069894407344,hg3,slow,Total
7,0.2068139664114754,ipsl,slow,Total
8,0.13910578249135933,mies2l,slow,Total
9,0.09123913851338525,miesm,slow,Total
10,0.11621679830511107,mi5,slow,Total
11,0.16850502234448886,mi6,slow,Total
12,0.15403720786114983,mpi,slow,Total
13,0.16437035990096832,mrcgcm,slow,Total
14,0.2822245965290404,mresm,slow,Total
15,0.4854036454916858,ukesm,slow,Total
0,0.2645729652458647,mean,slow,Total
0,0.16687772953868915,ccsm4,amip,SST
1,0.1588000070334907,canam4,amip,SST
2,0.16979123416025807,canesm5,amip,SST
3,0.17497029254372853,e3sm,amip,SST
4,0.16105381389490178,gfdl,amip,SST
5,0.1698798081114975,hg2,amip,SST
6,0.16503037827599185,hg3,amip,SST
7,0.16542347840100274,ipsl,amip,SST
8,0.16425296039944998,mies2l,amip,SST
9,0.14888771954761212,miesm,amip,SST
10,0.17124635928402243,mi5,amip,SST
11,0.17125131201776425,mi6,amip,SST
12,0.16145226358699213,mpi,amip,SST
13,0.1637924078918592,mrcgcm,amip,SST
14,0.16598946044513485,mresm,amip,SST
15,0.16426057180998402,ukesm,amip,SST
0,0.16518498730889872,mean,amip,SST
0,-0.5439799114766598,ccsm4,amip,EIS
1,-0.47425305407708973,canam4,amip,EIS
2,-0.5589496800260574,canesm5,amip,EIS
3,-0.5818609386520887,e3sm,amip,EIS
4,-0.7347904964181295,gfdl,amip,EIS
5,-0.6113822680420132,hg2,amip,EIS
6,-0.5775027067030477,hg3,amip,EIS
7,-0.564173637434934,ipsl,amip,EIS
8,-0.5041902171511953,mies2l,amip,EIS
9,-0.6101356154402537,miesm,amip,EIS
10,-0.761641450898374,mi5,amip,EIS
11,-0.6931723308572398,mi6,amip,EIS
12,-0.5311132792391574,mpi,amip,EIS
13,-0.5482284842752166,mrcgcm,amip,EIS
14,-0.5645542981299917,mresm,amip,EIS
15,-0.5572537284015593,ukesm,amip,EIS
0,-0.588573881076438,mean,amip,EIS
0,-0.06231968834791184,ccsm4,amip,Tadv
1,0.03727604721324896,canam4,amip,Tadv
2,-0.00909784624313487,canesm5,amip,Tadv
3,-0.02467674064768745,e3sm,amip,Tadv
4,0.025708110774134547,gfdl,amip,Tadv
5,-0.013303418474672535,hg2,amip,Tadv
6,-0.01017291385090364,hg3,amip,Tadv
7,-0.0329928777829224,ipsl,amip,Tadv
8,0.05443698237921527,mies2l,amip,Tadv
9,0.010745453671214098,miesm,amip,Tadv
10,0.037586488510430414,mi5,amip,Tadv
11,0.023676822376959287,mi6,amip,Tadv
12,-0.008870331405837987,mpi,amip,Tadv
13,0.027491976406135363,mrcgcm,amip,Tadv
14,0.03797541910472627,mresm,amip,Tadv
15,0.0020566615224053213,ukesm,amip,Tadv
0,0.005970009075337426,mean,amip,Tadv
0,0.09235584924141528,ccsm4,amip,RH
1,0.0753138085253768,canam4,amip,RH
2,0.09278110897572292,canesm5,amip,RH
3,0.22211708438815447,e3sm,amip,RH
4,0.17711813752955402,gfdl,amip,RH
5,0.24552259615259742,hg2,amip,RH
6,0.19869782509023062,hg3,amip,RH
7,0.17247839222005176,ipsl,amip,RH
8,0.25027130806603537,mies2l,amip,RH
9,0.129206077992591,miesm,amip,RH
10,0.3214064415828479,mi5,amip,RH
11,0.35897199419479175,mi6,amip,RH
12,0.18218687977109294,mpi,amip,RH
13,0.2031286069003962,mrcgcm,amip,RH
14,0.12160975245341844,mresm,amip,RH
15,0.3048607246314366,ukesm,amip,RH
0,0.19675166173223207,mean,amip,RH
0,0.011949804884173272,ccsm4,amip,Omega
1,0.011817900308319246,canam4,amip,Omega
2,0.007184869935533248,canesm5,amip,Omega
3,0.004788174318393273,e3sm,amip,Omega
4,0.01083487193136333,gfdl,amip,Omega
5,0.02997734811341265,hg2,amip,Omega
6,0.023487899112176042,hg3,amip,Omega
7,0.012661585505378499,ipsl,amip,Omega
8,6.145591029688752e-05,mies2l,amip,Omega
9,0.007768424333580941,miesm,amip,Omega
10,0.021293794049416535,mi5,amip,Omega
11,0.009130079502841412,mi6,amip,Omega
12,0.013797344938643574,mpi,amip,Omega
13,0.00789340195868453,mrcgcm,amip,Omega
14,0.008113007919731822,mresm,amip,Omega
15,0.0018675281138230322,ukesm,amip,Omega
0,0.011414218177235518,mean,amip,Omega
0,-0.0598950393185006,ccsm4,amip,WS
1,0.009339847721026502,canam4,amip,WS
2,0.029211835226544226,canesm5,amip,WS
3,0.030187758873238244,e3sm,amip,WS
4,-0.009823279943437263,gfdl,amip,WS
5,0.004582542196665271,hg2,amip,WS
6,0.0069316161641453395,hg3,amip,WS
7,0.018121100435134443,ipsl,amip,WS
8,0.03294263939797863,mies2l,amip,WS
9,-0.00579467460508121,miesm,amip,WS
10,-0.003828133961896792,mi5,amip,WS
11,-0.03222116785384843,mi6,amip,WS
12,0.00984989982518297,mpi,amip,WS
13,-0.021982435633470562,mrcgcm,amip,WS
14,0.005559160884984652,mresm,amip,WS
15,-0.007042801561688776,ukesm,amip,WS
0,0.00038367924043604027,mean,amip,WS
0,0.15351104787345704,ccsm4,hist,SST
1,0.18805869142017878,canam4,hist,SST
2,0.19639416948940916,canesm5,hist,SST
3,0.2082885496266615,e3sm,hist,SST
4,0.16709274548479947,gfdl,hist,SST
5,0.20569928508940555,hg2,hist,SST
6,0.210697237680356,hg3,hist,SST
7,0.16572656330256896,ipsl,hist,SST
8,0.22190518157098693,mies2l,hist,SST
9,0.15161551278841767,miesm,hist,SST
10,0.26065046364997424,mi5,hist,SST
11,0.11182024721689239,mi6,hist,SST
12,0.117788793316241,mpi,hist,SST
13,0.09997031078438592,mrcgcm,hist,SST
14,0.14128430198487862,mresm,hist,SST
15,0.2683974111268897,ukesm,hist,SST
0,0.17930628202534393,mean,hist,SST
0,-0.18204856696929828,ccsm4,hist,EIS
1,-0.06866386078800885,canam4,hist,EIS
2,-0.41369188152463693,canesm5,hist,EIS
3,-0.21817828904041395,e3sm,hist,EIS
4,-0.28917801651536706,gfdl,hist,EIS
5,-0.3944186898120259,hg2,hist,EIS
6,-0.13673163466459923,hg3,hist,EIS
7,-0.37730599943823107,ipsl,hist,EIS
8,-0.2188986929031558,mies2l,hist,EIS
9,-0.1444830681021996,miesm,hist,EIS
10,-0.32090096628160586,mi5,hist,EIS
11,-0.215100529005008,mi6,hist,EIS
12,-0.4271519216515381,mpi,hist,EIS
13,-0.32051334429520584,mrcgcm,hist,EIS
14,-0.14198573659962116,mresm,hist,EIS
15,-0.1085878371763773,ukesm,hist,EIS
0,-0.24861493967295578,mean,hist,EIS
0,0.023890014988934203,ccsm4,hist,Tadv
1,-0.040226145957724425,canam4,hist,Tadv
2,-0.026480526197754418,canesm5,hist,Tadv
3,0.008102565566255437,e3sm,hist,Tadv
4,0.025249302009975425,gfdl,hist,Tadv
5,0.013484028232596186,hg2,hist,Tadv
6,-0.007317866957865787,hg3,hist,Tadv
7,-0.01885357240229624,ipsl,hist,Tadv
8,-0.010303922124914489,mies2l,hist,Tadv
9,-0.00873911896095118,miesm,hist,Tadv
10,0.0017014121316431565,mi5,hist,Tadv
11,-0.026918914516838328,mi6,hist,Tadv
12,0.005699915345169879,mpi,hist,Tadv
13,0.016686073478230312,mrcgcm,hist,Tadv
14,0.017018835447841277,mresm,hist,Tadv
15,0.029470319455635757,ukesm,hist,Tadv
0,0.00015389997112104804,mean,hist,Tadv
0,0.09223925378878953,ccsm4,hist,RH
1,0.032705079906433024,canam4,hist,RH
2,0.05622990744596225,canesm5,hist,RH
3,0.10057594169777175,e3sm,hist,RH
4,0.11491260576977294,gfdl,hist,RH
5,0.1621296992754605,hg2,hist,RH
6,0.13856064156727071,hg3,hist,RH
7,0.206518716539296,ipsl,hist,RH
8,0.22162998610463105,mies2l,hist,RH
9,0.1041050930176389,miesm,hist,RH
10,0.1317713725372658,mi5,hist,RH
11,0.21117066276919327,mi6,hist,RH
12,0.19000340162733412,mpi,hist,RH
13,0.11654273000312881,mrcgcm,hist,RH
14,0.021239412959428043,mresm,hist,RH
15,0.2144190411749379,ukesm,hist,RH
0,0.13217209663651966,mean,hist,RH
