,Unnamed: 0,dR/dT,models,experiment,var
0,0,-0.9693528698052502,ccsm4,amip,Total
1,1,-0.596739192002846,canam4,amip,Total
2,2,-0.7647332942858437,canesm5,amip,Total
3,3,-0.6348690086483298,e3sm,amip,Total
4,4,-0.9532816493319624,gfdl,amip,Total
5,5,-0.7949614494781135,hg2,amip,Total
6,6,-0.8351399232154877,hg3,amip,Total
7,7,-0.7744774045216134,ipsl,amip,Total
8,8,-0.4551224152444691,mies2l,amip,Total
9,9,-0.8299972259707105,miesm,amip,Total
10,10,-0.8390321046516016,mi5,amip,Total
11,11,-0.8116559190346827,mi6,amip,Total
12,12,-0.6299124550974061,mpi,amip,Total
13,13,-0.6096281299486515,mrcgcm,amip,Total
14,14,-0.6945562602035715,mresm,amip,Total
15,15,-0.7159065956727602,ukesm,amip,Total
17,0,-0.1971150884480691,ccsm4,hist,Total
18,1,0.0586102966671388,canam4,hist,Total
19,2,-0.4243925993266563,canesm5,hist,Total
20,3,0.0906017576171814,e3sm,hist,Total
21,4,-0.2298648056092145,gfdl,hist,Total
22,5,-0.3215218050328776,hg2,hist,Total
23,6,0.122612785557222,hg3,hist,Total
24,7,-0.4734813865494034,ipsl,hist,Total
25,8,-0.0487242059599368,mies2l,hist,Total
26,9,-0.0738883030606723,miesm,hist,Total
27,10,0.0155548335979688,mi5,hist,Total
28,11,-0.0960282714828921,mi6,hist,Total
29,12,-0.5318225201206159,mpi,hist,Total
30,13,-0.2997512578585265,mrcgcm,hist,Total
31,14,-0.0173459486366587,mresm,hist,Total
32,15,0.2231791208742395,ukesm,hist,Total
34,0,-0.02857380676786,ccsm4,fast,Total
35,1,0.0408517415365181,canam4,fast,Total
36,2,-0.0995605163519618,canesm5,fast,Total
37,3,0.2062026283222723,e3sm,fast,Total
38,4,-0.0635413604257525,gfdl,fast,Total
39,5,-0.0083223374923268,hg2,fast,Total
40,6,0.1589270191980807,hg3,fast,Total
41,7,0.0312487093971225,ipsl,fast,Total
42,8,-0.0067488946988288,mies2l,fast,Total
43,9,-0.0547828026129677,miesm,fast,Total
44,10,0.0810364618406766,mi5,fast,Total
45,11,-0.0545195517775995,mi6,fast,Total
